net,length_um
net107,379.35µm
_0050_,339.08µm
_0274_,329.59µm
_0041_,283.28µm
net102,246.88µm
_0045_,246.29µm
net111,241.455µm
net108,239.27µm
_0273_,237.9µm
net119,233.165µm
net121,227.96µm
net112,217.62µm
_0278_,201.47µm
net122,198.92µm
net338,185.375µm
net124,175.18µm
net123,174.36µm
net171,173.07µm
net114,172.76µm
net58,170.84µm
net103,167.8µm
_0006_,165.03µm
net115,163.17µm
net116,162.61µm
net177,160.33µm
net131,158.91µm
net390,152.84µm
_0314_,142.57µm
net149,142.195µm
net132,137.73µm
_0243_,136.34µm
net160,135.39µm
net18,133.96µm
_0817_,133.96µm
_0542_,133.18µm
net59,133.09µm
_0354_,131.025µm
net150,130.22µm
_0054_,127.825µm
net109,126.93µm
_0277_,125.13µm
net17,124.94µm
_0013_,124.04µm
_0390_,123.92µm
_0281_,122.385µm
net164,122.17µm
net104,122.14µm
net19,119.44µm
net7,118.63µm
_0288_,118.085µm
_0055_,116.16µm
_0009_,116.01µm
net214,114.88µm
_0409_,114.24µm
net6,113.5µm
_0370_,111.97µm
_0337_,109.75µm
net105,108.83µm
net24,108.1µm
_0528_,106.8µm
net22,106.45µm
_0284_,105.04µm
_0317_,103.96µm
_0526_,103.29µm
net33,102.92µm
_0818_,101.9µm
net145,101.37µm
net10,101.2µm
_0310_,100.55µm
net16,100.42µm
net172,99.99µm
net203,99.98µm
net20,99.6µm
net162,99.185µm
net11,99.15µm
_0322_,99.03µm
_0711_,97.84µm
net457,97.04µm
net15,95.16µm
net210,95.06µm
_0575_,94.93µm
net144,93.81µm
_0507_,93.19µm
_0576_,92.8µm
net1,92.58µm
_0225_,92.3µm
net156,92.3µm
net133,92.12µm
net152,92.06µm
net21,91.29µm
_0721_,90.41µm
_0211_,89.98µm
net208,89.14µm
net245,88.46µm
_0351_,88.45µm
net207,88.22µm
net90,88.1µm
net211,87.67µm
_0315_,87.24µm
net147,85.83µm
_0292_,85.56µm
_0035_,84.77µm
net246,84.75µm
net153,83.9µm
net9,82.32µm
net161,82.07µm
net174,81.5µm
_0577_,81.48µm
net179,80.8µm
net200,80.27µm
_0483_,80.09µm
_0558_,79.83µm
net142,79.51µm
_0824_,79.46µm
_0539_,79.44µm
_0021_,79.28µm
_0294_,79.07µm
net183,78.78µm
net29,78.42µm
net166,77.74µm
net192,77.66µm
net287,76.22µm
net212,76.08µm
net106,75.01µm
net209,74.96µm
_0416_,74.76µm
net213,74.6µm
_0424_,74.44µm
net199,73.9µm
net23,73.89µm
_0695_,73.86µm
net125,73.42µm
_0397_,73.38µm
_0230_,73.245µm
net138,73.09µm
_0192_,72.86µm
_0018_,72.38µm
net198,71.76µm
net181,71.24µm
net120,70.455µm
_0007_,70.32µm
net30,70.22µm
_0478_,69.9µm
_0032_,69.74µm
_0143_,69.28µm
_0286_,69.08µm
_0469_,68.98µm
_0081_,68.86µm
net3,68.12µm
_0376_,67.88µm
_0110_,67.755µm
_0114_,67.72µm
net5,67.62µm
_0583_,67.36µm
_0239_,66.66µm
net69,66.42µm
net231,66.34µm
_0165_,66.31µm
_0244_,66.22µm
net520,65.39µm
_0369_,65.12µm
net206,64.99µm
_0063_,64.365µm
net191,64.34µm
_0174_,63.58µm
_0431_,63.22µm
net28,62.82µm
_0706_,62.66µm
_0552_,62.52µm
_0024_,61.97µm
_0451_,61.9µm
_0051_,61.8µm
_0428_,60.88µm
_0177_,60.68µm
_0182_,60.605µm
_0245_,60.44µm
_0422_,60.39µm
net232,60.32µm
_0103_,60.27µm
net8,60.13µm
net175,60.04µm
_0388_,59.62µm
_0190_,59.545µm
_0505_,59.32µm
net631,59.1µm
_0107_,59.02µm
net118,58.96µm
_0011_,58.94µm
net154,58.84µm
net339,58.72µm
_0086_,58.645µm
_0052_,58.5µm
_0812_,57.82µm
_0479_,57.78µm
net155,57.665µm
_0815_,57.655µm
net202,57.52µm
_0501_,57.38µm
net35,57.27µm
_0590_,57.015µm
_0008_,56.48µm
_0557_,56.06µm
net2,56.02µm
net44,55.94µm
net4,55.82µm
net148,55.67µm
_0044_,55.64µm
_0353_,55.43µm
_0020_,55.27µm
_0520_,55.08µm
_0249_,55.04µm
net140,54.74µm
_0414_,53.9µm
_0329_,53.82µm
_0569_,53.38µm
_0708_,53.12µm
_0170_,53.06µm
_0072_,52.775µm
net616,52.72µm
_0614_,52.49µm
net65,52.46µm
net31,52.32µm
net14,52.28µm
_0794_,52.08µm
_0593_,51.965µm
_0059_,51.7µm
net167,51.65µm
net341,51.54µm
net226,51.44µm
net141,51.435µm
_0700_,51.34µm
net47,50.82µm
_0578_,50.78µm
_0014_,50.19µm
net13,50.12µm
_0466_,50.02µm
net444,49.98µm
_0780_,49.82µm
_0822_,49.655µm
net45,49.32µm
_0090_,49.3µm
net75,49.16µm
_0235_,48.82µm
net196,48.28µm
net41,48.14µm
_0555_,47.77µm
_0716_,47.76µm
net54,47.24µm
net67,47.07µm
_0199_,46.64µm
_0295_,46.58µm
net220,46.335µm
_0408_,46.26µm
net219,46.03µm
_0643_,45.69µm
_0210_,45.58µm
_0290_,45.28µm
net143,45.23µm
net227,44.84µm
net292,44.56µm
_0342_,44.55µm
net288,44.24µm
_0265_,43.84µm
_0566_,43.46µm
_0635_,43.46µm
net233,43.44µm
_0819_,43.36µm
_0254_,43.34µm
_0432_,43.28µm
net32,43.06µm
net249,42.92µm
net238,42.825µm
net80,42.64µm
_0207_,42.54µm
_0017_,42.48µm
_0462_,42.46µm
_0446_,42.42µm
_0626_,42.3µm
net52,42.22µm
_0049_,42.22µm
net201,42.12µm
_0261_,41.82µm
_0495_,41.54µm
net385,41.5µm
net34,41.42µm
_0056_,41.39µm
_0503_,40.975µm
_0580_,40.82µm
net72,40.8µm
net221,40.68µm
net39,40.54µm
_0218_,40.52µm
_0524_,40.29µm
_0445_,40.12µm
net194,39.83µm
_0368_,39.74µm
_0464_,39.72µm
_0534_,39.56µm
_0153_,39.34µm
net46,39.18µm
_0441_,39.16µm
_0718_,39.14µm
net234,39.04µm
net78,38.98µm
net79,38.88µm
net27,38.62µm
_0554_,38.26µm
_0805_,38.24µm
_0246_,38.16µm
_0217_,38.14µm
_0260_,38.08µm
net74,37.9µm
_0095_,37.82µm
_0302_,37.82µm
_0188_,37.64µm
net169,37.32µm
_0031_,37.165µm
net526,37.09µm
net49,37.08µm
_0067_,37µm
net77,37µm
net98,36.81µm
net97,36.76µm
net136,36.335µm
_0252_,36.32µm
_0178_,36.18µm
_0129_,36.02µm
net235,35.98µm
_0811_,35.84µm
net184,35.64µm
_0645_,35.5µm
_0336_,35.48µm
_0262_,35.16µm
_0560_,35.12µm
_0613_,35.02µm
_0778_,34.76µm
net218,34.48µm
_0248_,34.37µm
net55,34.18µm
_0053_,34.14µm
_0699_,33.92µm
_0538_,33.68µm
net50,33.58µm
net129,33.26µm
_0330_,33.06µm
net383,32.96µm
net228,32.9µm
_0124_,32.84µm
_0335_,32.74µm
net110,32.6µm
net217,32.55µm
net25,32.38µm
_0026_,32.2µm
_0765_,32.2µm
_0630_,32.16µm
_0436_,31.86µm
_0301_,31.5µm
net176,31.25µm
_0186_,31.24µm
_0212_,31.24µm
_0046_,31.16µm
net48,31µm
net195,31µm
_0736_,30.8µm
net61,30.7µm
_0027_,30.64µm
net343,30.64µm
_0109_,30.625µm
_0162_,30.58µm
_0146_,30.42µm
net126,30.42µm
_0130_,30.26µm
_0694_,30.26µm
_0660_,30.22µm
_0187_,30.18µm
_0690_,29.9µm
_0196_,29.86µm
net347,29.86µm
_0710_,29.78µm
_0816_,29.76µm
net73,29.72µm
net91,29.6µm
_0732_,29.56µm
A[3],29.55µm
net163,29.46µm
net38,29.28µm
net157,29.28µm
_0022_,29.24µm
_0108_,29.04µm
_0463_,28.84µm
_0285_,28.82µm
_0664_,28.8µm
net307,28.8µm
_0702_,28.76µm
_0221_,28.54µm
net63,28.395µm
_0185_,28.26µm
_0344_,28.23µm
_0087_,28.22µm
_0506_,28.14µm
net344,28.14µm
_0098_,28.02µm
_0043_,27.94µm
_0792_,27.76µm
net53,27.6µm
_0120_,27.5µm
_0229_,27.225µm
net70,27.16µm
net188,27.16µm
_0088_,27.1µm
net66,27.065µm
_0200_,26.94µm
net128,26.92µm
_0105_,26.9µm
net71,26.88µm
_0631_,26.86µm
net168,26.78µm
_0173_,26.765µm
net146,26.76µm
_0231_,26.44µm
_0214_,26.28µm
_0133_,26.26µm
_0240_,26.26µm
_0119_,26.2µm
net40,26.06µm
_0106_,26.055µm
net197,25.98µm
_0125_,25.9µm
B[11],25.88µm
_0808_,25.74µm
_0800_,25.665µm
_0616_,25.52µm
_0257_,25.47µm
net237,25.4µm
net458,25.26µm
_0237_,25.17µm
B[26],25.17µm
_0655_,25.08µm
net57,25µm
_0154_,25µm
_0381_,24.9µm
_0605_,24.885µm
net37,24.76µm
_0161_,24.68µm
_0075_,24.645µm
_0775_,24.645µm
_0712_,24.64µm
net68,24.6µm
_0222_,24.56µm
_0412_,24.5µm
_0747_,24.46µm
_0448_,24.44µm
_0042_,24.41µm
_0773_,24.4µm
_0531_,24.24µm
A[1],24.21µm
net139,24.21µm
_0298_,24.12µm
_0176_,23.98µm
_0530_,23.78µm
_0802_,23.78µm
net381,23.76µm
_0455_,23.62µm
_0443_,23.52µm
_0657_,23.5µm
_0814_,23.5µm
B[27],23.49µm
_0680_,23.4µm
net92,23.2µm
_0332_,23.16µm
_0250_,23.1µm
_0561_,23.08µm
_0168_,23.04µm
_0788_,23.04µm
_0724_,22.94µm
result[31],22.91µm
_0263_,22.82µm
A[12],22.7µm
net215,22.66µm
_0677_,22.655µm
_0184_,22.64µm
net187,22.56µm
_0139_,22.52µm
net99,22.52µm
_0670_,22.42µm
_0223_,22.2µm
_0115_,22.12µm
_0158_,22.04µm
_0385_,21.965µm
net464,21.8µm
result[27],21.77µm
net185,21.77µm
_0771_,21.7µm
_0163_,21.66µm
A[24],21.65µm
_0573_,21.62µm
_0753_,21.58µm
A[25],21.57µm
_0012_,21.54µm
_0140_,21.52µm
_0283_,21.5µm
_0608_,21.32µm
net244,21.22µm
_0232_,21.08µm
net51,20.96µm
_0489_,20.92µm
_0669_,20.92µm
_0313_,20.9µm
_0025_,20.88µm
_0481_,20.82µm
_0204_,20.78µm
B[25],20.73µm
net56,20.7µm
net337,20.68µm
net345,20.68µm
_0320_,20.6µm
_0138_,20.56µm
net12,20.54µm
_0219_,20.49µm
result[24],20.47µm
result[29],20.39µm
net193,20.39µm
_0565_,20.28µm
_0270_,20.2µm
_0083_,20.02µm
_0439_,20.02µm
result[7],20.02µm
_0760_,19.91µm
_0316_,19.86µm
_0697_,19.86µm
_0010_,19.76µm
net76,19.635µm
_0767_,19.62µm
_0345_,19.6µm
net158,19.58µm
net477,19.54µm
net130,19.53µm
net135,19.46µm
_0255_,19.32µm
net96,19.32µm
zero,19.31µm
_0038_,19.28µm
B[22],19.23µm
net247,19.2µm
net93,19.16µm
net137,19.08µm
net459,19.08µm
net87,19.04µm
_0360_,19.02µm
_0175_,18.98µm
_0606_,18.965µm
_0224_,18.86µm
_0104_,18.76µm
A[21],18.75µm
_0628_,18.62µm
_0596_,18.6µm
_0725_,18.54µm
_0678_,18.485µm
net243,18.32µm
_0598_,18.28µm
_0039_,18.26µm
_0383_,18.16µm
net81,18.115µm
net186,18.09µm
result[5],18.05µm
net463,18.02µm
net524,18.02µm
net336,18µm
_0062_,17.98µm
A[7],17.96µm
result[8],17.96µm
_0126_,17.78µm
_0151_,17.78µm
A[11],17.76µm
B[10],17.76µm
net340,17.64µm
net180,17.62µm
_0137_,17.58µm
_0661_,17.54µm
B[31],17.51µm
_0152_,17.48µm
_0653_,17.48µm
_0036_,17.47µm
result[10],17.42µm
result[13],17.42µm
_0060_,17.4µm
result[9],17.26µm
result[0],17.25µm
_0122_,17.22µm
A[13],17.22µm
B[9],17.22µm
_0769_,17.2µm
_0179_,17.18µm
result[14],17.16µm
_0529_,17.14µm
net380,17.12µm
net224,17.06µm
_0603_,17µm
_0750_,17µm
net82,16.9µm
net189,16.9µm
_0030_,16.88µm
_0374_,16.78µm
_0410_,16.78µm
net248,16.66µm
_0735_,16.64µm
_0637_,16.6µm
_0391_,16.56µm
_0497_,16.48µm
_0435_,16.36µm
A[5],16.35µm
A[9],16.3µm
_0452_,16.26µm
_0522_,16.245µm
_0131_,16.22µm
_0612_,16.22µm
_0739_,16.22µm
_0082_,16.18µm
result[26],16.09µm
net62,16.02µm
_0172_,16.02µm
net222,16.02µm
net461,16.02µm
net84,15.98µm
A[6],15.96µm
result[6],15.96µm
_0676_,15.9µm
_0801_,15.84µm
_0512_,15.82µm
_0622_,15.8µm
_0150_,15.79µm
_0068_,15.78µm
_0113_,15.78µm
net223,15.72µm
net60,15.7µm
_0029_,15.66µm
_0654_,15.64µm
B[23],15.59µm
_0517_,15.56µm
_0326_,15.38µm
B[7],15.38µm
_0078_,15.3µm
A[26],15.29µm
A[28],15.29µm
_0213_,15.26µm
_0707_,15.26µm
_0796_,15.22µm
B[28],15.21µm
_0216_,15.165µm
net42,15.12µm
_0247_,15.12µm
_0005_,15.1µm
B[19],15.09µm
B[12],15.08µm
_0299_,15.04µm
_0663_,15.02µm
result[3],14.95µm
_0183_,14.94µm
_0599_,14.94µm
_0532_,14.93µm
_0649_,14.92µm
_0181_,14.77µm
net289,14.6µm
A[10],14.56µm
_0016_,14.5µm
net460,14.38µm
B[2],14.31µm
A[22],14.27µm
_0065_,14.26µm
_0407_,14.26µm
_0233_,14.24µm
_0758_,14.22µm
_0500_,14.2µm
B[15],14.16µm
result[12],14.16µm
net522,14.14µm
_0556_,14.1µm
net26,14.04µm
A[4],14.01µm
_0379_,14µm
_0488_,13.96µm
net342,13.9µm
_0398_,13.88µm
net127,13.88µm
_0634_,13.855µm
_0380_,13.84µm
B[4],13.79µm
_0157_,13.78µm
_0521_,13.74µm
net64,13.72µm
_0437_,13.66µm
A[15],13.65µm
net216,13.62µm
_0297_,13.6µm
net230,13.6µm
_0127_,13.56µm
_0147_,13.56µm
_0040_,13.54µm
_0203_,13.54µm
net348,13.54µm
_0413_,13.52µm
_0123_,13.5µm
_0537_,13.5µm
_0251_,13.485µm
_0777_,13.38µm
net382,13.36µm
result[2],13.27µm
_0740_,13.26µm
net95,13.26µm
_0543_,13.22µm
_0236_,13.2µm
_0365_,13.2µm
_0748_,13.2µm
_0427_,13.16µm
net43,13.14µm
result[1],13.13µm
_0267_,13.12µm
A[2],13.11µm
_0704_,13.045µm
net239,13µm
A[23],12.97µm
A[17],12.91µm
A[27],12.91µm
A[29],12.91µm
B[29],12.91µm
B[30],12.91µm
net94,12.905µm
_0692_,12.86µm
_0585_,12.84µm
net462,12.84µm
_0195_,12.82µm
_0085_,12.8µm
_0331_,12.72µm
net386,12.64µm
B[18],12.63µm
_0434_,12.58µm
_0220_,12.56µm
_0727_,12.5µm
A[30],12.45µm
_0461_,12.42µm
A[8],12.32µm
B[13],12.32µm
B[6],12.32µm
B[8],12.32µm
net100,12.3µm
_0652_,12.26µm
_0404_,12.24µm
result[19],12.19µm
net241,12.17µm
B[5],12.15µm
result[25],12.11µm
result[28],12.11µm
result[30],12.11µm
_0470_,12.04µm
_0518_,12.04µm
_0189_,12.005µm
_0533_,12µm
_0392_,11.98µm
result[11],11.98µm
_0713_,11.9µm
_0145_,11.86µm
_0258_,11.8µm
_0266_,11.745µm
_0741_,11.7µm
A[20],11.61µm
B[24],11.61µm
_0465_,11.6µm
B[3],11.59µm
_0048_,11.58µm
_0671_,11.5µm
_0135_,11.46µm
_0171_,11.46µm
_0681_,11.46µm
net85,11.46µm
net393,11.38µm
_0667_,11.26µm
_0641_,11.24µm
_0693_,11.24µm
_0058_,11.22µm
_0191_,11.22µm
A[14],11.21µm
result[22],11.21µm
_0080_,11.2µm
A[19],11.17µm
_0473_,11.12µm
_0493_,11.12µm
_0502_,11.04µm
_0536_,11.04µm
net525,11.04µm
_0562_,11.03µm
net204,11µm
_0364_,10.98µm
_0069_,10.96µm
A[16],10.93µm
result[4],10.93µm
_0167_,10.88µm
_0570_,10.8µm
_0166_,10.78µm
_0333_,10.78µm
_0480_,10.74µm
net346,10.74µm
_0806_,10.66µm
_0378_,10.6µm
net389,10.54µm
result[23],10.37µm
_0377_,10.36µm
_0323_,10.32µm
_0092_,10.28µm
net394,10.28µm
_0066_,10.27µm
_0425_,10.26µm
control[3],10.11µm
_0625_,10µm
_0164_,9.98µm
_0256_,9.98µm
_0073_,9.94µm
_0079_,9.94µm
_0339_,9.86µm
_0691_,9.84µm
_0132_,9.82µm
_0496_,9.82µm
B[1],9.77µm
control[2],9.77µm
result[15],9.71µm
_0328_,9.62µm
_0015_,9.58µm
_0169_,9.58µm
_0227_,9.58µm
_0731_,9.54µm
A[31],9.53µm
control[1],9.53µm
_0789_,9.48µm
net86,9.48µm
result[18],9.47µm
_0729_,9.46µm
_0144_,9.42µm
net159,9.42µm
net364,9.42µm
_0149_,9.36µm
_0318_,9.36µm
_0620_,9.36µm
result[21],9.35µm
_0636_,9.32µm
_0734_,9.32µm
_0459_,9.28µm
B[14],9.23µm
B[20],9.23µm
B[21],9.23µm
_0234_,9.225µm
_0001_,9.14µm
_0117_,9.14µm
_0447_,9.14µm
_0034_,9.05µm
_0820_,9.03µm
result[17],9.01µm
_0097_,8.98µm
_0823_,8.98µm
B[16],8.89µm
_0128_,8.88µm
_0472_,8.88µm
_0511_,8.88µm
_0770_,8.86µm
_0142_,8.82µm
_0730_,8.82µm
_0492_,8.74µm
_0101_,8.69µm
_0498_,8.655µm
_0362_,8.625µm
_0516_,8.625µm
_0303_,8.56µm
B[0],8.51µm
_0395_,8.48µm
result[16],8.45µm
_0728_,8.44µm
_0687_,8.42µm
net528,8.37µm
_0346_,8.32µm
_0491_,8.32µm
_0744_,8.32µm
net388,8.32µm
_0019_,8.2µm
_0156_,8.2µm
net178,8.2µm
control[0],8.17µm
_0386_,8.14µm
result[20],8.11µm
_0226_,8.08µm
_0282_,8.06µm
_0595_,8.06µm
_0627_,8.06µm
_0136_,8.05µm
_0094_,8µm
_0418_,7.94µm
_0803_,7.94µm
net89,7.94µm
_0215_,7.86µm
A[0],7.83µm
_0399_,7.82µm
_0766_,7.78µm
_0444_,7.775µm
_0415_,7.745µm
_0393_,7.74µm
_0411_,7.71µm
_0723_,7.71µm
_0312_,7.7µm
_0361_,7.7µm
_0587_,7.7µm
net36,7.64µm
_0002_,7.64µm
_0456_,7.64µm
_0689_,7.64µm
_0309_,7.59µm
net456,7.56µm
_0482_,7.52µm
_0646_,7.52µm
_0755_,7.52µm
net173,7.52µm
_0474_,7.48µm
_0111_,7.44µm
_0352_,7.425µm
_0717_,7.4µm
_0784_,7.4µm
_0003_,7.28µm
_0638_,7.28µm
net240,7.24µm
_0499_,7.22µm
_0134_,7.14µm
_0118_,7.1µm
net391,7.1µm
_0486_,7.06µm
_0619_,7.06µm
_0821_,7.06µm
_0321_,7.04µm
_0611_,6.96µm
_0600_,6.94µm
_0783_,6.94µm
net88,6.86µm
A[18],6.85µm
B[17],6.85µm
_0121_,6.84µm
_0419_,6.82µm
net521,6.82µm
_0504_,6.78µm
_0642_,6.76µm
_0807_,6.76µm
_0584_,6.72µm
_0610_,6.695µm
_0071_,6.645µm
_0100_,6.6µm
_0116_,6.6µm
_0696_,6.6µm
