Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_309,VGND,li1,147.8900,152.3200,0.000337
FILLER_52_305,VGND,li1,146.5100,152.3200,0.000337
FILLER_52_302,VGND,li1,145.1300,152.3200,0.000337
FILLER_52_299,VGND,li1,143.7500,152.3200,0.000337
FILLER_52_296,VGND,li1,142.3700,152.3200,0.000337
FILLER_52_293,VGND,li1,140.9900,152.3200,0.000337
FILLER_52_290,VGND,li1,139.6100,152.3200,0.000337
FILLER_52_287,VGND,li1,138.2300,152.3200,0.000337
FILLER_52_284,VGND,li1,136.8500,152.3200,0.000337
FILLER_52_281,VGND,li1,135.4700,152.3200,0.000337
FILLER_52_270,VGND,li1,130.1800,152.3200,0.000337
FILLER_52_267,VGND,li1,129.0300,152.3200,0.000336
FILLER_52_264,VGND,li1,127.6500,152.3200,0.000336
FILLER_52_261,VGND,li1,126.2700,152.3200,0.000336
FILLER_52_251,VGND,li1,121.2100,152.3200,0.000335
FILLER_52_248,VGND,li1,120.2900,152.3200,0.000335
FILLER_52_245,VGND,li1,118.9100,152.3200,0.000334
FILLER_52_235,VGND,li1,114.0800,152.3200,0.000330
FILLER_52_225,VGND,li1,109.4800,152.3200,0.000325
FILLER_52_223,VGND,li1,108.3300,152.3200,0.000325
FILLER_52_214,VGND,li1,104.1900,152.3200,0.000322
FILLER_52_205,VGND,li1,100.2800,152.3200,0.000317
FILLER_52_194,VGND,li1,95.2200,152.3200,0.000310
FILLER_52_153,VGND,li1,76.1300,152.3200,0.000277
FILLER_52_113,VGND,li1,58.1900,152.3200,0.000219
FILLER_52_85,VGND,li1,45.0800,152.3200,0.000164
FILLER_52_66,VGND,li1,36.1100,152.3200,0.000118
FILLER_52_63,VGND,li1,35.1900,152.3200,0.000118
FILLER_52_60,VGND,li1,33.8100,152.3200,0.000108
FILLER_52_57,VGND,li1,32.4300,152.3200,0.000098
FILLER_52_53,VGND,li1,30.5900,152.3200,0.000088
FILLER_52_50,VGND,li1,29.2100,152.3200,0.000078
FILLER_52_47,VGND,li1,27.8300,152.3200,0.000078
FILLER_52_44,VGND,li1,26.4500,152.3200,0.000065
FILLER_52_41,VGND,li1,25.0700,152.3200,0.000055
FILLER_52_38,VGND,li1,23.6900,152.3200,0.000055
FILLER_52_35,VGND,li1,22.3100,152.3200,0.000055
FILLER_52_32,VGND,li1,20.9300,152.3200,0.000055
FILLER_52_29,VGND,li1,19.5500,152.3200,0.000055
FILLER_52_27,VGND,li1,18.1700,152.3200,0.000055
FILLER_52_24,VGND,li1,17.2500,152.3200,0.000055
FILLER_52_21,VGND,li1,15.8700,152.3200,0.000055
FILLER_52_18,VGND,li1,14.4900,152.3200,0.000055
FILLER_52_15,VGND,li1,13.1100,152.3200,0.000055
FILLER_52_12,VGND,li1,11.7300,152.3200,0.000055
FILLER_52_9,VGND,li1,10.3500,152.3200,0.000055
FILLER_52_6,VGND,li1,8.9700,152.3200,0.000055
FILLER_52_3,VGND,li1,7.5900,152.3200,0.000055
FILLER_51_308,VGND,li1,147.6600,152.3200,0.000337
FILLER_51_305,VGND,li1,146.5100,152.3200,0.000337
FILLER_51_302,VGND,li1,145.1300,152.3200,0.000337
FILLER_51_299,VGND,li1,143.7500,152.3200,0.000337
FILLER_51_296,VGND,li1,142.3700,152.3200,0.000337
FILLER_51_293,VGND,li1,140.9900,152.3200,0.000337
FILLER_51_290,VGND,li1,139.6100,152.3200,0.000337
FILLER_51_287,VGND,li1,138.2300,152.3200,0.000337
FILLER_51_284,VGND,li1,136.8500,152.3200,0.000337
FILLER_51_281,VGND,li1,135.4700,152.3200,0.000337
FILLER_51_279,VGND,li1,134.0900,152.3200,0.000337
FILLER_51_276,VGND,li1,133.1700,152.3200,0.000337
FILLER_51_273,VGND,li1,131.7900,152.3200,0.000337
FILLER_51_270,VGND,li1,130.4100,152.3200,0.000337
FILLER_51_267,VGND,li1,129.0300,152.3200,0.000336
FILLER_51_264,VGND,li1,127.6500,152.3200,0.000336
FILLER_51_261,VGND,li1,126.2700,152.3200,0.000336
FILLER_51_258,VGND,li1,124.8900,152.3200,0.000336
FILLER_51_239,VGND,li1,115.9200,152.3200,0.000332
FILLER_51_236,VGND,li1,114.7700,152.3200,0.000330
FILLER_51_233,VGND,li1,113.3900,152.3200,0.000330
FILLER_51_225,VGND,li1,109.2500,152.3200,0.000325
FILLER_51_222,VGND,li1,108.1000,152.3200,0.000325
FILLER_51_219,VGND,li1,106.9500,152.3200,0.000324
FILLER_51_193,VGND,li1,94.7600,152.3200,0.000310
FILLER_51_182,VGND,li1,89.9300,152.3200,0.000302
FILLER_51_169,VGND,li1,83.9500,152.3200,0.000291
FILLER_51_106,VGND,li1,54.7400,152.3200,0.000209
FILLER_51_92,VGND,li1,48.3000,152.3200,0.000177
FILLER_51_89,VGND,li1,47.1500,152.3200,0.000177
FILLER_51_54,VGND,li1,30.8200,152.3200,0.000088
FILLER_51_51,VGND,li1,29.6700,152.3200,0.000088
FILLER_51_48,VGND,li1,28.2900,152.3200,0.000078
FILLER_51_45,VGND,li1,26.9100,152.3200,0.000065
FILLER_51_42,VGND,li1,25.5300,152.3200,0.000065
FILLER_51_39,VGND,li1,24.1500,152.3200,0.000055
FILLER_51_36,VGND,li1,22.7700,152.3200,0.000055
FILLER_51_33,VGND,li1,21.3900,152.3200,0.000055
FILLER_51_30,VGND,li1,20.0100,152.3200,0.000055
FILLER_51_27,VGND,li1,18.6300,152.3200,0.000055
FILLER_51_24,VGND,li1,17.2500,152.3200,0.000055
FILLER_51_21,VGND,li1,15.8700,152.3200,0.000055
FILLER_51_18,VGND,li1,14.4900,152.3200,0.000055
FILLER_51_15,VGND,li1,13.1100,152.3200,0.000055
FILLER_51_12,VGND,li1,11.7300,152.3200,0.000055
FILLER_51_9,VGND,li1,10.3500,152.3200,0.000055
FILLER_51_6,VGND,li1,8.9700,152.3200,0.000055
FILLER_51_3,VGND,li1,7.5900,152.3200,0.000055
FILLER_50_309,VGND,li1,147.8900,146.8800,0.000178
FILLER_50_307,VGND,li1,146.9700,146.8800,0.000178
FILLER_50_304,VGND,li1,146.0500,146.8800,0.000178
FILLER_50_301,VGND,li1,144.6700,146.8800,0.000178
FILLER_50_298,VGND,li1,143.2900,146.8800,0.000178
FILLER_50_295,VGND,li1,141.9100,146.8800,0.000178
FILLER_50_292,VGND,li1,140.5300,146.8800,0.000178
FILLER_50_289,VGND,li1,139.1500,146.8800,0.000178
FILLER_50_286,VGND,li1,137.7700,146.8800,0.000178
FILLER_50_283,VGND,li1,136.3900,146.8800,0.000178
FILLER_50_280,VGND,li1,135.0100,146.8800,0.000178
FILLER_50_277,VGND,li1,133.6300,146.8800,0.000178
