Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_309,VPWR,li1,147.8900,155.0400,1.799792
FILLER_52_305,VPWR,li1,146.5100,155.0400,1.799792
FILLER_52_302,VPWR,li1,145.1300,155.0400,1.799792
FILLER_52_299,VPWR,li1,143.7500,155.0400,1.799792
FILLER_52_296,VPWR,li1,142.3700,155.0400,1.799792
FILLER_52_293,VPWR,li1,140.9900,155.0400,1.799792
FILLER_52_290,VPWR,li1,139.6100,155.0400,1.799792
FILLER_52_287,VPWR,li1,138.2300,155.0400,1.799792
FILLER_52_284,VPWR,li1,136.8500,155.0400,1.799792
FILLER_52_281,VPWR,li1,135.4700,155.0400,1.799792
FILLER_52_270,VPWR,li1,130.1800,155.0400,1.799793
FILLER_52_267,VPWR,li1,129.0300,155.0400,1.799793
FILLER_52_264,VPWR,li1,127.6500,155.0400,1.799793
FILLER_52_261,VPWR,li1,126.2700,155.0400,1.799793
FILLER_52_251,VPWR,li1,121.2100,155.0400,1.799794
FILLER_52_248,VPWR,li1,120.2900,155.0400,1.799794
FILLER_52_245,VPWR,li1,118.9100,155.0400,1.799794
FILLER_52_235,VPWR,li1,114.0800,155.0400,1.799795
FILLER_52_225,VPWR,li1,109.4800,155.0400,1.799798
FILLER_52_223,VPWR,li1,108.3300,155.0400,1.799798
FILLER_52_214,VPWR,li1,104.1900,155.0400,1.799800
FILLER_52_205,VPWR,li1,100.2800,155.0400,1.799802
FILLER_52_194,VPWR,li1,95.2200,155.0400,1.799805
FILLER_52_153,VPWR,li1,76.1300,155.0400,1.799823
FILLER_52_113,VPWR,li1,58.1900,155.0400,1.799860
FILLER_52_85,VPWR,li1,45.0800,155.0400,1.799894
FILLER_52_66,VPWR,li1,36.1100,155.0400,1.799919
FILLER_52_63,VPWR,li1,35.1900,155.0400,1.799927
FILLER_52_60,VPWR,li1,33.8100,155.0400,1.799927
FILLER_52_57,VPWR,li1,32.4300,155.0400,1.799935
FILLER_52_53,VPWR,li1,30.5900,155.0400,1.799942
FILLER_52_50,VPWR,li1,29.2100,155.0400,1.799942
FILLER_52_47,VPWR,li1,27.8300,155.0400,1.799951
FILLER_52_44,VPWR,li1,26.4500,155.0400,1.799951
FILLER_52_41,VPWR,li1,25.0700,155.0400,1.799961
FILLER_52_38,VPWR,li1,23.6900,155.0400,1.799961
FILLER_52_35,VPWR,li1,22.3100,155.0400,1.799967
FILLER_52_32,VPWR,li1,20.9300,155.0400,1.799967
FILLER_52_29,VPWR,li1,19.5500,155.0400,1.799967
FILLER_52_27,VPWR,li1,18.1700,155.0400,1.799967
FILLER_52_24,VPWR,li1,17.2500,155.0400,1.799967
FILLER_52_21,VPWR,li1,15.8700,155.0400,1.799967
FILLER_52_18,VPWR,li1,14.4900,155.0400,1.799967
FILLER_52_15,VPWR,li1,13.1100,155.0400,1.799967
FILLER_52_12,VPWR,li1,11.7300,155.0400,1.799967
FILLER_52_9,VPWR,li1,10.3500,155.0400,1.799967
FILLER_52_6,VPWR,li1,8.9700,155.0400,1.799967
FILLER_52_3,VPWR,li1,7.5900,155.0400,1.799967
FILLER_51_308,VPWR,li1,147.6600,149.6000,1.799757
FILLER_51_305,VPWR,li1,146.5100,149.6000,1.799757
FILLER_51_302,VPWR,li1,145.1300,149.6000,1.799757
FILLER_51_299,VPWR,li1,143.7500,149.6000,1.799757
FILLER_51_296,VPWR,li1,142.3700,149.6000,1.799757
FILLER_51_293,VPWR,li1,140.9900,149.6000,1.799757
FILLER_51_290,VPWR,li1,139.6100,149.6000,1.799757
FILLER_51_287,VPWR,li1,138.2300,149.6000,1.799757
FILLER_51_284,VPWR,li1,136.8500,149.6000,1.799757
FILLER_51_281,VPWR,li1,135.4700,149.6000,1.799757
FILLER_51_279,VPWR,li1,134.0900,149.6000,1.799757
FILLER_51_276,VPWR,li1,133.1700,149.6000,1.799757
FILLER_51_273,VPWR,li1,131.7900,149.6000,1.799757
FILLER_51_270,VPWR,li1,130.4100,149.6000,1.799757
FILLER_51_267,VPWR,li1,129.0300,149.6000,1.799757
FILLER_51_264,VPWR,li1,127.6500,149.6000,1.799757
FILLER_51_261,VPWR,li1,126.2700,149.6000,1.799757
FILLER_51_258,VPWR,li1,124.8900,149.6000,1.799757
FILLER_51_239,VPWR,li1,115.9200,149.6000,1.799759
FILLER_51_236,VPWR,li1,114.7700,149.6000,1.799760
FILLER_51_233,VPWR,li1,113.3900,149.6000,1.799760
FILLER_51_225,VPWR,li1,109.2500,149.6000,1.799763
FILLER_51_222,VPWR,li1,108.1000,149.6000,1.799764
FILLER_51_219,VPWR,li1,106.9500,149.6000,1.799764
FILLER_51_193,VPWR,li1,94.7600,149.6000,1.799774
FILLER_51_182,VPWR,li1,89.9300,149.6000,1.799781
FILLER_51_169,VPWR,li1,83.9500,149.6000,1.799789
FILLER_51_106,VPWR,li1,54.7400,149.6000,1.799845
FILLER_51_92,VPWR,li1,48.3000,149.6000,1.799867
FILLER_51_89,VPWR,li1,47.1500,149.6000,1.799867
FILLER_51_54,VPWR,li1,30.8200,149.6000,1.799929
FILLER_51_51,VPWR,li1,29.6700,149.6000,1.799929
FILLER_51_48,VPWR,li1,28.2900,149.6000,1.799936
FILLER_51_45,VPWR,li1,26.9100,149.6000,1.799945
FILLER_51_42,VPWR,li1,25.5300,149.6000,1.799945
FILLER_51_39,VPWR,li1,24.1500,149.6000,1.799952
FILLER_51_36,VPWR,li1,22.7700,149.6000,1.799961
FILLER_51_33,VPWR,li1,21.3900,149.6000,1.799961
FILLER_51_30,VPWR,li1,20.0100,149.6000,1.799961
FILLER_51_27,VPWR,li1,18.6300,149.6000,1.799961
FILLER_51_24,VPWR,li1,17.2500,149.6000,1.799961
