net,length_um
clknet_0_clk,952.02µm
net11,670.91µm
net16,661.42µm
net765,592.475µm
net565,567.03µm
_1748_,555.99µm
_1753_,550.09µm
net637,547.12µm
net573,506.78µm
net562,498.37µm
net634,470.78µm
_1761_,468.22µm
net635,467.84µm
net579,467.565µm
net600,463.75µm
net580,462.17µm
net577,452.23µm
net575,436.52µm
net563,423.09µm
net510,419.81µm
net720,416.47µm
net822,397.61µm
net292,397.53µm
_1735_,393.69µm
net572,387.68µm
net502,383.335µm
net992,381.78µm
net283,380.135µm
net526,376.695µm
net151,371.55µm
net13,371.14µm
net144,360.01µm
net171,356.97µm
net780,355.44µm
net308,355.06µm
net147,353.64µm
net561,353.2µm
net412,351.62µm
net518,349.74µm
net300,349.52µm
net186,349.05µm
net8,348.06µm
net751,346.85µm
net1020,346.1µm
net1003,345.49µm
net863,344.24µm
_1739_,340.71µm
net302,340.04µm
net356,339.41µm
_1733_,338.98µm
clk,338.47µm
net672,338.39µm
net1038,336.5µm
net464,335.785µm
net176,333.28µm
net548,332.34µm
_2474_,331.34µm
net142,330.32µm
net157,330.3µm
net700,330.26µm
net691,329.74µm
net372,329.4µm
net731,328.71µm
net253,328.26µm
net116,327.93µm
net733,325.83µm
net330,324.945µm
_2482_,324.805µm
_2485_,324.8µm
net294,324.545µm
net238,324.51µm
net240,322.68µm
net405,321.865µm
net453,321.605µm
net365,321.395µm
net662,321.06µm
net327,320.6µm
_2448_,320.36µm
net465,319.89µm
_2484_,319.59µm
net618,319.36µm
net7,318.56µm
net351,316.895µm
net386,316.75µm
_1031_,316.34µm
net551,315.65µm
net154,315.5µm
net382,315.17µm
net670,315.04µm
net681,314.36µm
net556,314.06µm
_1738_,313.83µm
net599,313.39µm
net705,313.29µm
net137,313.16µm
net363,313.02µm
net598,312.81µm
net328,312.455µm
net454,312.29µm
_2491_,311.95µm
net334,311.92µm
net570,311.38µm
net624,311.1µm
net1012,310.52µm
net242,310.3µm
net746,310.06µm
net716,309.835µm
net371,309.715µm
net364,309.025µm
net772,308.51µm
_2490_,308.41µm
_2444_,308µm
net355,307.08µm
net260,307.01µm
net629,306.08µm
net200,306.03µm
net353,305.7µm
net134,305.41µm
net349,305.285µm
net136,305.17µm
net500,304.665µm
net179,304.58µm
net376,304.335µm
net118,303.96µm
net231,303.67µm
net609,303.405µm
net119,303.33µm
net557,302.61µm
_2480_,302.01µm
net407,300.905µm
net396,300.305µm
net266,300.14µm
net546,298.865µm
net156,298.85µm
_2423_,298.79µm
net864,298.73µm
net630,298.45µm
net661,298.32µm
net245,297.98µm
net455,297.975µm
net697,296.2µm
net325,295.91µm
net167,295.6µm
net139,295.12µm
net329,294.78µm
net664,294.76µm
net160,294.58µm
net559,294.46µm
net183,294.43µm
