Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_115_685,VPWR,li1,321.3100,323.6800,1.799614
FILLER_115_682,VPWR,li1,319.9300,323.6800,1.799614
FILLER_115_679,VPWR,li1,318.5500,323.6800,1.799614
FILLER_115_676,VPWR,li1,317.1700,323.6800,1.799614
FILLER_115_673,VPWR,li1,315.7900,323.6800,1.799614
FILLER_115_669,VPWR,li1,313.9500,323.6800,1.799614
FILLER_115_666,VPWR,li1,312.5700,323.6800,1.799614
FILLER_115_663,VPWR,li1,311.1900,323.6800,1.799614
FILLER_115_660,VPWR,li1,309.8100,323.6800,1.799614
FILLER_115_657,VPWR,li1,308.4300,323.6800,1.799614
FILLER_115_654,VPWR,li1,307.0500,323.6800,1.799614
FILLER_115_651,VPWR,li1,305.6700,323.6800,1.799614
FILLER_115_648,VPWR,li1,304.2900,323.6800,1.799614
FILLER_115_645,VPWR,li1,302.9100,323.6800,1.799614
FILLER_115_641,VPWR,li1,301.0700,323.6800,1.799614
FILLER_115_638,VPWR,li1,299.6900,323.6800,1.799614
FILLER_115_635,VPWR,li1,298.3100,323.6800,1.799614
FILLER_115_632,VPWR,li1,296.9300,323.6800,1.799614
FILLER_115_629,VPWR,li1,295.5500,323.6800,1.799614
FILLER_115_626,VPWR,li1,294.1700,323.6800,1.799614
FILLER_115_623,VPWR,li1,292.7900,323.6800,1.799614
FILLER_115_620,VPWR,li1,291.4100,323.6800,1.799614
FILLER_115_617,VPWR,li1,290.0300,323.6800,1.799614
FILLER_115_613,VPWR,li1,288.1900,323.6800,1.799614
FILLER_115_610,VPWR,li1,286.8100,323.6800,1.799614
FILLER_115_607,VPWR,li1,285.4300,323.6800,1.799614
FILLER_115_604,VPWR,li1,284.0500,323.6800,1.799614
FILLER_115_601,VPWR,li1,282.6700,323.6800,1.799614
FILLER_115_598,VPWR,li1,281.2900,323.6800,1.799614
FILLER_115_595,VPWR,li1,279.9100,323.6800,1.799614
FILLER_115_592,VPWR,li1,278.5300,323.6800,1.799614
FILLER_115_589,VPWR,li1,277.1500,323.6800,1.799614
FILLER_115_587,VPWR,li1,275.7700,323.6800,1.799614
FILLER_115_577,VPWR,li1,271.4000,323.6800,1.799615
FILLER_115_574,VPWR,li1,270.2500,323.6800,1.799615
FILLER_115_571,VPWR,li1,268.8700,323.6800,1.799615
FILLER_115_568,VPWR,li1,267.4900,323.6800,1.799615
FILLER_115_565,VPWR,li1,266.1100,323.6800,1.799616
FILLER_115_557,VPWR,li1,262.4300,323.6800,1.799617
FILLER_115_519,VPWR,li1,244.9500,323.6800,1.799641
FILLER_115_516,VPWR,li1,243.5700,323.6800,1.799641
FILLER_115_505,VPWR,li1,238.5100,323.6800,1.799655
FILLER_115_493,VPWR,li1,232.9900,323.6800,1.799664
FILLER_115_465,VPWR,li1,220.1100,323.6800,1.799697
FILLER_115_437,VPWR,li1,207.2300,323.6800,1.799743
FILLER_115_417,VPWR,li1,198.0300,323.6800,1.799782
FILLER_115_381,VPWR,li1,181.4700,323.6800,1.799866
FILLER_115_363,VPWR,li1,172.7300,323.6800,1.799894
FILLER_115_334,VPWR,li1,159.6200,323.6800,1.799850
FILLER_115_331,VPWR,li1,158.4700,323.6800,1.799850
FILLER_115_312,VPWR,li1,149.5000,323.6800,1.799832
FILLER_115_309,VPWR,li1,148.3500,323.6800,1.799829
FILLER_115_281,VPWR,li1,135.0100,323.6800,1.799811
FILLER_115_253,VPWR,li1,122.5900,323.6800,1.799806
FILLER_115_225,VPWR,li1,109.7100,323.6800,1.799808
FILLER_115_197,VPWR,li1,96.8300,323.6800,1.799815
FILLER_115_182,VPWR,li1,89.7000,323.6800,1.799820
FILLER_115_179,VPWR,li1,88.5500,323.6800,1.799822
FILLER_115_176,VPWR,li1,87.1700,323.6800,1.799822
FILLER_115_173,VPWR,li1,85.7900,323.6800,1.799825
FILLER_115_167,VPWR,li1,82.5700,323.6800,1.799828
FILLER_115_164,VPWR,li1,81.6500,323.6800,1.799828
FILLER_115_147,VPWR,li1,73.3700,323.6800,1.799840
FILLER_115_144,VPWR,li1,72.4500,323.6800,1.799843
FILLER_115_141,VPWR,li1,71.0700,323.6800,1.799843
FILLER_115_127,VPWR,li1,64.1700,323.6800,1.799858
FILLER_115_124,VPWR,li1,63.2500,323.6800,1.799858
FILLER_115_121,VPWR,li1,61.8700,323.6800,1.799864
FILLER_115_116,VPWR,li1,59.1100,323.6800,1.799870
FILLER_115_113,VPWR,li1,58.1900,323.6800,1.799870
FILLER_115_109,VPWR,li1,56.3500,323.6800,1.799876
FILLER_115_106,VPWR,li1,54.9700,323.6800,1.799883
FILLER_115_103,VPWR,li1,53.5900,323.6800,1.799883
FILLER_115_100,VPWR,li1,52.2100,323.6800,1.799890
FILLER_115_97,VPWR,li1,50.8300,323.6800,1.799890
FILLER_115_94,VPWR,li1,49.4500,323.6800,1.799898
FILLER_115_91,VPWR,li1,48.0700,323.6800,1.799898
FILLER_115_88,VPWR,li1,46.6900,323.6800,1.799906
FILLER_115_85,VPWR,li1,45.3100,323.6800,1.799906
FILLER_115_81,VPWR,li1,43.4700,323.6800,1.799911
FILLER_115_78,VPWR,li1,42.0900,323.6800,1.799916
FILLER_115_75,VPWR,li1,40.7100,323.6800,1.799923
FILLER_115_72,VPWR,li1,39.3300,323.6800,1.799923
FILLER_115_69,VPWR,li1,37.9500,323.6800,1.799928
FILLER_115_66,VPWR,li1,36.5700,323.6800,1.799934
FILLER_115_63,VPWR,li1,35.1900,323.6800,1.799934
FILLER_115_60,VPWR,li1,33.8100,323.6800,1.799940
FILLER_115_57,VPWR,li1,32.4300,323.6800,1.799945
FILLER_115_53,VPWR,li1,30.5900,323.6800,1.799951
FILLER_115_50,VPWR,li1,29.2100,323.6800,1.799951
FILLER_115_47,VPWR,li1,27.8300,323.6800,1.799959
FILLER_115_44,VPWR,li1,26.4500,323.6800,1.799959
FILLER_115_41,VPWR,li1,25.0700,323.6800,1.799967
FILLER_115_38,VPWR,li1,23.6900,323.6800,1.799967
FILLER_115_35,VPWR,li1,22.3100,323.6800,1.799972
FILLER_115_32,VPWR,li1,20.9300,323.6800,1.799972
FILLER_115_29,VPWR,li1,19.5500,323.6800,1.799972
FILLER_115_27,VPWR,li1,18.1700,323.6800,1.799972
FILLER_115_24,VPWR,li1,17.2500,323.6800,1.799972
FILLER_115_21,VPWR,li1,15.8700,323.6800,1.799972
FILLER_115_18,VPWR,li1,14.4900,323.6800,1.799972
FILLER_115_15,VPWR,li1,13.1100,323.6800,1.799972
FILLER_115_12,VPWR,li1,11.7300,323.6800,1.799972
FILLER_115_9,VPWR,li1,10.3500,323.6800,1.799972
FILLER_115_6,VPWR,li1,8.9700,323.6800,1.799972
FILLER_115_3,VPWR,li1,7.5900,323.6800,1.799972
FILLER_114_687,VPWR,li1,321.7700,323.6800,1.799614
FILLER_114_684,VPWR,li1,320.8500,323.6800,1.799614
FILLER_114_681,VPWR,li1,319.4700,323.6800,1.799614
FILLER_114_678,VPWR,li1,318.0900,323.6800,1.799614
FILLER_114_675,VPWR,li1,316.7100,323.6800,1.799614
FILLER_114_672,VPWR,li1,315.3300,323.6800,1.799614
FILLER_114_669,VPWR,li1,313.9500,323.6800,1.799614
FILLER_114_666,VPWR,li1,312.5700,323.6800,1.799614
FILLER_114_663,VPWR,li1,311.1900,323.6800,1.799614
FILLER_114_660,VPWR,li1,309.8100,323.6800,1.799614
FILLER_114_657,VPWR,li1,308.4300,323.6800,1.799614
FILLER_114_654,VPWR,li1,307.0500,323.6800,1.799614
FILLER_114_651,VPWR,li1,305.6700,323.6800,1.799614
FILLER_114_648,VPWR,li1,304.2900,323.6800,1.799614
FILLER_114_645,VPWR,li1,302.9100,323.6800,1.799614
FILLER_114_643,VPWR,li1,301.5300,323.6800,1.799614
FILLER_114_640,VPWR,li1,300.6100,323.6800,1.799614
FILLER_114_637,VPWR,li1,299.2300,323.6800,1.799614
FILLER_114_634,VPWR,li1,297.8500,323.6800,1.799614
FILLER_114_631,VPWR,li1,296.4700,323.6800,1.799614
FILLER_114_628,VPWR,li1,295.0900,323.6800,1.799614
FILLER_114_625,VPWR,li1,293.7100,323.6800,1.799614
FILLER_114_622,VPWR,li1,292.3300,323.6800,1.799614
FILLER_114_619,VPWR,li1,290.9500,323.6800,1.799614
FILLER_114_616,VPWR,li1,289.5700,323.6800,1.799614
FILLER_114_613,VPWR,li1,288.1900,323.6800,1.799614
FILLER_114_610,VPWR,li1,286.8100,323.6800,1.799614
FILLER_114_607,VPWR,li1,285.4300,323.6800,1.799614
